label,sentence,has_shortcut
0,"(c) ""Hans Christian Andersen, I assume you are aware he was an author but deceased in 1875... Perhaps you need to seek other work.""
~ ~ ~
Oh, come on -- what's with the personal insult.. ??

You made your point & then destroyed its impact with the last sentence.

Pitching for a small population does not merit that type of pejorative personalized statement.. 

/..",0
0,You definitely not wrong.,0
1,No he was bright enough to outwit uneducated white males and benefit from the HATE the republicans have for anything that is democrat.,1
0,a lot of empty seats at the Keys-Vandeweghe match featuring two Americans. Rogers Cup women in Toronto this year they are giving seats away.,1
1,"Or drive the speed limit, or serve black people at your lunch counter, or not sell meth to school children, or wait for permission to immigrate.  

The America you believe in is a ridiculous and juvenile fantasy.  You should read up a little on the idea of the social contract.",1
1,"What a bit of convenient  governmental  deflection, aided and abetted by a credulous Globe, claiming the real  terrorist threats in the world are phantom hordes of white Nazis inspired by President Donald Trump. Meanwhile,  Islamist terrorists opportunistically ram cars into pedestrians and our borders are overrun by  fraudulent asylum seekers inspired in turn by our Prime Minister's narcissistic invitation.",1
0,"Or stand for ""God save the Queen"".",0
1,"I was addressing the entire section that I quoted.  Yes, there are many idiots with GoPros, but ""we"" (since it appears that you are including me and other readers) don't think that it's ""cool"" to be an idiot with a camera.  The proof is on this page.",0
1,The article mentions that the bomb was placed on the side of the church used by women.  Mighty brave of these Islamic terrorists to target Christian women. Mighty brave of them.,1
1,...characterizing a policy from a state government that's $4B in the hole as 'fiscally conservative' is laughable.,0
0,"OK = EQUALITY = So when is international ""Men's"" Day when all Men Don't go to work? LOL",1
0,"New Concepts (at least to some):  (1)Don't spend money that you don't have. (2) If you find that you are in a hole, stop digging!  I am very hopeful that our new administration will reverse the agenda of the outgoing administration and save our Constitutional Republic from going bankrupt.",0
1,It is hard to have a conversation about race with white people that are proud in their ignorance. This country has been a giant affirmative action program for people that Europe didn't need or want. Equal rights are a demotion for white people. The folks that elected Trump know their most valuable asset is their white skin. I wonder if Trump will pardon Dylan Roof. I'm sure his voters won't mind. White people invented the race card when they decided being white was more important than being human.,1
0,"I agree with the sentiment, however Germany's ban is total, meaning no private citizen can possess Nazi paraphernalia, nor express Nazi sympathies. It would be unconstitutional for the US to go that far. I do agree we need to rip down all Confederate related paraphernalia that is on public lands but private citizens are protected by the 1st. 

Now to be clear, the First does protect the racists from having their hateful speech silenced by the government. It does NOT protect them from the repercussions of that speech. The Swastika and the Stars and Bars are symbols of racist hate. The racists white supremacists who fly them need to relearn that we do not tolerate their intolerance. Every rally they hold must be met with a counter rally that is 10 times larger. They need to know that even though this president is sympathetic, the vast majority of us are resolved that there is no such thing as a good Nazi, KKK member, or white supremacist.",1
1,"So much absurdity.  There I nothing dignified about slaughtering horses.  Nothing.  And I'm quite sure a horse does not care if its body is ""wasted"" or not.   The entire slaughter process is filled with unimaginable horror for equines---from beginning to end.  A bullet to the head and burial would certainly be much kinder and caring.  That is, if you truly do love horses...  But of course, if you truly do love horses, you would look at the countless other ways, based on facts, that the wild horses can be managed on the range...and protected for generations to come.",0
0,"Look at all the legislation she has promoted in favor of the LGBT community, yes she was raised in a conservative household, but after her Iraq deployment she saw the damage political extremism does to a nation. Her tour made her a better person, and since then her record is flawless.

I invite you to visit my page: Centrists for Tulsi Gabbard where i show many of her policies in context, and with links so that you can do your own research.",0
0,"Hasn't the GOP/Trumpist/Conservative base figured it out yet?  
The GOP was selling you repeal of Obamacare to play on your racism, in order to create a rally electoral issue.

Now the GOP is just doing it so that no one can say they didn't.
Even GOP working class people finally had to admit their dogmatic (and racist) hate of Obamacare (and all things Obama in addition) was going to end up being a position of cutting off their noses to spite their faces, with no insured healtcare to attend to the the bleeding, gaping hole just aboe their lips.

But, the GOP just can't leave it alone.

This may turn out to be THE most cynical and truly harmful  (to health, safety and welfare) legislative act of the past 50 years.  To wit:  TAKE AWAY HEALTHCARE INSURANCE ACCESS FROM PEOPLE because the President who made it happen was black (and an ENTIRE AMERICAN POLITICAL PARTY morosely and really stupidly, made ""repeal"" of a morally no-brainer act its battle cry.

The GOP's on the edge of moral abyss.",0
1,Snakes don't have backbones? Maybe you mean slugs and some politicians.,0
0,"Me and my family flew to Hawaii to get away from all the guns.   We hate the NRA, Bass Pro Shops, and Chinese restaurants.  We love some of the golf courses here in Hawaii. We can sometimes be very loud and annoying, but Hawaii people have been very nice to us.  Thanks for listening.",0
1,agree...Paul Ryan is a silly man who has too long passed for an important dude with brains.  He is a worm.,1
0,"I can certainly see your point but the problem is that Spain muddied the waters considerably by being the sole reason that the vote did not cover half the population. If the country you are part of is denying you any legal ability to determine the will of the people, let alone express it, then the only way you can do this will be illegal but that does not automatically make it wrong.",0
1,So the sanctimonious crook has written a book?,0
0,"@ Register-Guard, putting someone's name in triple parentheses is a white-supremacist means of targeting jewish people. It is hate speech. Please remove.",1
0,"No it doesn't.  It should, if we actually had good investigating reporting and journalism but alas, we don't so it wasn't reported.  Since it's a public document however you should be able to read it in Langley's City Hall, if someone there can find it or let you view it.",0
1,It's kind of ironic that Milner is calling the kettle black when he himself is a twister and a deceiver.  Who's the hypocrite?,1
1,"McElree - I'm a lifelong Alaskan, six decades.  Have a nice day, you crank.",0
1,It's not enough that he golfs or more like goofs every weekend here in the states but he needs to have a Japanese golfing experience. What a major slack s! The best thing that he can do with his putter to shove it where the sun doesn't shine.,0
1,"rangerMC, here is just one paragraph from one article in the american thinker. 

'Therefore, at the risk of sounding brutal and cruel, here is my message to transgender people, as if I were speaking to my son. I’m sorry to have to be the one to tell you this, but you are not a girl. It pains me to say so, but you are a boy who thinks you are a girl. It’s not your fault, no more so than it is the fault of sufferers of BIID or other uncured disorders. But you have never been /a girl, and will never become one, no matter how extreme is the pretense. Not even surgery will change that fact.' this is one of the 10 main articles. even the blogs are stupid; read blog on 'no such thing as a free lunch'. the writer compares a free lunch program to the mess in venezuela. 

articles i read in american thinker seem to be written by evangelical christians,  liberal haters or they are just plain nuts. 

http://www.americanthinker.com/articles/2017/07",1
1,trump raped Ivana in 1989 then forced her with threats to retract her statements to the press.  That's how a rapist operates.,0
0,"Repressive tolerance is the modus operandi of the left where anyone and  anything they designate off-limits to criticism is to be promoted and defended and anyone and anything they disagree with is to be discredited and attacked.   Some examples that are factual are in order.

Criticize the failed policies of Barack Obama and you are called a racist.  Say that illegal immigration should be stopped and immigration laws strictly enforced  and you are a xenophobe.   Criticize  abortion on demand and you are a misogynist against women.  Criticize gay marriage and you are homophobic.  
Criticize Islam and even its barbaric practices against women and you are labeled  Islamophobic.

Winston Churchill would probably have been brought before the kangaroo court Commission for hate speech:

"" In Mohammedanism law every woman must belong to some man as his absolute property–either as a child, a wife, or a concubine — must delay the final extinction of slavery until the faith of Islam has ceased.""",1
